vivino_id,winery,year,name,type,rating,price,country,region,image_url
4642954,Mingorra,2016,Mingorra Colheita Tinto 2016,red,3.7,5.9,Portugal,Alentejano,//images.vivino.com/labels/GEA_z8abRAKK8y26-SzuNg.jpg
5513980,CARM,2018,CARM SO2 Free Douro Tinto 2018,red,3.6,15.0,Portugal,Douro,//images.vivino.com/thumbs/fMMaDQMAR3OAo0LK6OFcPg_pl_480x640.png
1935409,Vila Santa,2017,Vila Santa Tinto (Loios) 2017,red,3.9,9.89,Portugal,Alentejano,//images.vivino.com/thumbs/ZOXcqn2vSVaHyyo8r2ZfrQ_pl_480x640.png
1136577,Quinta do Pégo,2010,Quinta do Pégo LBV Port 2010,fortified,3.6,15.0,Portugal,Porto,//images.vivino.com/thumbs/ORJYYDcdRS2WvmFkHjrA0w_pl_480x640.png
5461342,Quinta do Pégo,2014,Quinta do Pégo Douro Vinhas Velhas 2014,red,4.5,50.0,Portugal,Douro,//images.vivino.com/labels/4BicJ8fMT1SCFBFdqDnHzQ.jpg
1250338,Foral de Portimao,2017,Foral de Portimao Colheita Seleccionada 2017,red,3.3,5.99,Portugal,Algarve,//images.vivino.com/labels/lSIAOgeaRbuCPT8nXVkRqw.jpg
1315184,Távora,2015,Távora Terras do Demo Touriga Nacional 2015,sparkling,3.9,8.99,Portugal,Távora-Varosa,//images.vivino.com/thumbs/cp6Kmj5eREWQ7PtN-GFUqg_pl_480x640.png
1237463,Herdade da Calada,2015,Herdade da Calada Vale da Calada Blanco 2015,white,3.7,4.99,Portugal,Alentejano,//images.vivino.com/thumbs/NAdJrIWARDuuUGTR4J2YBg_pl_480x640.png
1269429,Murganheira,2009,Murganheira Velha Reserva Bruto 2009,sparkling,4.1,14.95,Portugal,Távora-Varosa,//images.vivino.com/labels/PTvxL2dKSOu9BeSFJcE1pA.jpg
3241182,Quinta da Tor,2015,Quinta da Tor Riserva Algibre Red Blend 2015,red,4.2,13.95,Portugal,Algarve,//images.vivino.com/labels/bby0mK0pTTOfE9DcWzS9nQ.jpg
1149090,Caves Transmontanas,2015,Caves Transmontanas Vértice Cuvée Reserva Bruto 2015,sparkling,3.9,13.99,Portugal,Douro,//images.vivino.com/thumbs/CFfTHC1kRNehAN_u5YGTJg_pl_480x640.png
1239636,Herdade do Sobroso,2016,Herdade do Sobroso Tinto 2016,red,4.0,12.95,Portugal,Alentejano,//images.vivino.com/thumbs/ShvmJ73XSnaBFqa5Xnew9A_pl_480x640.png
1575487,Cartuxa,2010,Cartuxa Évora Espumante Reserva Bruto 2010,sparkling,4.3,34.95,Portugal,Evora,//images.vivino.com/thumbs/20pHereKSdSduKyLNjlRtg_pl_480x640.png
1105371,Esporão,2016,Esporão Vinha da Defesa Rosé 2016,rosé,3.5,7.99,Portugal,Alentejano,//images.vivino.com/thumbs/A2KbysJjQ4WPAdyfmowjpw_pl_480x640.png
1218354,Fiuza,2018,Fiuza Chardonnay 2018,white,3.6,4.89,Portugal,Tejo,//images.vivino.com/thumbs/vNmokY8MTq60RVgMirvFIA_pl_480x640.png
2384142,Adega do Moleiro,2017,Adega do Moleiro Branco 2017,white,2.9,9.95,Portugal,Torres Vedras,//images.vivino.com/labels/6hsa_3pwQF2sjPprXP9AlQ.jpg
8971,Niepoort,2015,Niepoort Colheita Port 2015,fortified,4.1,29.95,Portugal,Porto,//images.vivino.com/thumbs/WveiVp21RPGjgHGudv2NuQ_pl_480x640.png
2072913,Krohn,1964,Krohn Colheita Porto Branco 1964,fortified,4.7,250.0,Portugal,Porto,//images.vivino.com/labels/aCgcDmv0R66DpjgrxOw84Q.jpg
1200390,Quinta Nova de Nossa Senhora do Carmo,2007,Quinta Nova de Nossa Senhora do Carmo Late Bottled Vintage Port 2007,fortified,4.2,49.0,Portugal,Porto,//images.vivino.com/thumbs/PO8QWBMCToODXGwVZLsdlA_pl_480x640.png
1201097,Anselmo Mendes,2015,Anselmo Mendes Muros Antigos Loureiro 2015,white,3.7,6.9,Portugal,Vinho Verde,//images.vivino.com/thumbs/oeA0Akn0QcWUWgD03x-owA_pl_480x640.png
1368603,Ramos Pinto,2000,Ramos Pinto Late Bottled Vintage Port 2000,fortified,4.3,57.0,Portugal,Porto,//images.vivino.com/thumbs/ElP14ofHS7SfwutMC41OzA_pl_480x640.png
1798484,Solar do Prado,2010,Solar do Prado Tinto 2010,red,3.4,9.5,Portugal,Douro,//images.vivino.com/labels/H7kY_OhZT3OJPGpx6p9tPA.jpg
1361738,Brites Aguiar,2010,Brites Aguiar Bafarela Colheita 2010,red,3.5,8.5,Portugal,Douro,//images.vivino.com/labels/00grid2il3ptt.jpg
5722020,Monte da Ravasqueira,2019,Monte da Ravasqueira Branco Superior 2019,white,3.9,10.0,Portugal,Alentejano,//images.vivino.com/labels/0hNpnucjQc61mN2B_XFB5Q.jpg
1253952,Herdade de Coelheiros,2007,Herdade de Coelheiros Branca de Almeida 2007,red,3.9,15.82,Portugal,Alentejano,//images.vivino.com/thumbs/-7owqmpIQWi1KnHhfo59hw_pl_480x640.png
1584853,Portas da Herdade,2017,Portas da Herdade Reserva Tinto 2017,red,3.8,7.45,Portugal,Alentejano,//images.vivino.com/thumbs/e-IyNuNBSoKslsknS7RiMQ_pl_480x640.png
2601224,Quinta da Foz,2018,Quinta da Foz Vinha da Foz  Tinto 2018,red,3.9,22.95,Portugal,Douro,//images.vivino.com/thumbs/BZpOxnj6SAyb494i2b5X0g_pl_480x640.png
1843934,Joao Portugal Ramos,2017,Joao Portugal Ramos Pouca Roupa Tinto 2017,red,3.4,8.83,Portugal,Alentejano,//images.vivino.com/thumbs/HqtASoQNQ5yx3fFeukMzjQ_pl_480x640.png
1843934,Joao Portugal Ramos,2018,Joao Portugal Ramos Pouca Roupa Tinto 2018,red,3.7,4.42,Portugal,Alentejano,//images.vivino.com/thumbs/HqtASoQNQ5yx3fFeukMzjQ_pl_480x640.png
5540999,Montalegre,2016,Montalegre Vinhas Velhas Tinto 2016,red,4.0,8.81,Portugal,Trás-os-Montes,//images.vivino.com/labels/cBplv4YLTtarNPditcW0ug.jpg
1221513,Fonte do Nico,2018,Fonte do Nico Branco 2018,white,3.3,7.65,Portugal,Península de Setúbal,//images.vivino.com/thumbs/m2vs4ap1QcC0Ca-55NUX0w_pl_480x640.png
1227946,Herdade Penedo Gordo,2016,Herdade Penedo Gordo Monte Penedo Gordo Reserva 2016,red,4.1,15.2,Portugal,Alentejo,//images.vivino.com/thumbs/2dJF3n2hQb6yv7dKgOfdFg_pl_480x640.png
1153199,Borges,2018,Borges Lello Branco 2018,white,3.5,2.89,Portugal,Douro,//images.vivino.com/thumbs/IkKtfIuTQTue8KilfEWOnw_pl_480x640.png
4369875,Montalegre,2015,Montalegre Reserva Tinto 2015,red,3.8,11.3,Portugal,Trás-os-Montes,//images.vivino.com/thumbs/m2dnXpc7Sb6O-oCqUszY7A_pl_480x640.png
3169315,Adega Cooperativa de Borba,2015,Adega Cooperativa de Borba Alentejo Reserva Branco 2015,white,3.8,11.56,Portugal,Alentejano,//images.vivino.com/labels/p841P2KxQk6MSTWV0uBk7Q.jpg
1268175,Pontual,2017,Pontual Syrah 2017,red,3.7,8.21,Portugal,Alentejano,//images.vivino.com/labels/as5PepUeQCihylaWhmiYcA.jpg
1451411,Casa Ermelinda Freitas,2017,Casa Ermelinda Freitas Terras Do Pó Castas Syrah - Petit Verdot 2017,red,4.2,11.95,Portugal,Península de Setúbal,//images.vivino.com/thumbs/V_O0WlfEQLOU_Lyj9bWABA_pl_480x640.png
3784027,Montalegre,2015,Montalegre Clássico Tinto 2015,red,3.8,4.01,Portugal,Trás-os-Montes,//images.vivino.com/thumbs/m9Cz4jEoRoi91C1QCw7Ylg_pl_480x640.png
1921978,Poeira,2018,Poeira Pó de Poeira Branco 2018,white,4.2,14.35,Portugal,Douro,//images.vivino.com/thumbs/o-xP-BSoTUydsti_YWGq5g_pl_480x640.png
1323947,Casa de Cello,2011,Casa de Cello Quinta da Vegia Tinto 2011,red,3.5,14.833333333333334,Portugal,Dão,//images.vivino.com/thumbs/f6hFOu_XSMekBIDy9F1NLw_pl_480x640.png
1136261,Poças,1994,Poças Colheita Port 1994,fortified,3.9,54.95,Portugal,Porto,//images.vivino.com/thumbs/zCk-_J_gTbex5RafB5gB0A_pl_480x640.png
1245210,Herdade Espirra,2010,Herdade Espirra Tinto 2010,red,4.0,9.7,Portugal,Palmela,//images.vivino.com/labels/07wt_vwzQw6PgLFTjgZ9vw.jpg
8971,Niepoort,1976,Niepoort Colheita Port 1976,fortified,4.3,158.54,Portugal,Porto,//images.vivino.com/thumbs/WveiVp21RPGjgHGudv2NuQ_pl_480x640.png
1736135,Cabrita,2018,Cabrita Branco 2018,white,3.6,7.95,Portugal,Algarve,//images.vivino.com/labels/02j2xokjsahz3.jpg
1194130,Alves de Sousa,2008,Alves de Sousa Quinta da Gaivosa Vintage Porto 2008,fortified,4.4,59.0,Portugal,Porto,//images.vivino.com/thumbs/VtiiT_3nQACmJH6Tx_FP_w_pl_480x640.png
1718756,Rozès,2010,Rozès Port Late Bottled Vintage Unfiltered 2010,fortified,3.8,14.95,Portugal,Porto,//images.vivino.com/labels/EyaIaZi1SVm6p80fr2bBjw.jpg
76390,Cálem,1995,Cálem Quinta da Foz Vintage Port 1995,fortified,4.1,39.9,Portugal,Porto,//images.vivino.com/labels/00nm1oek7a7qn.jpg
1165500,Quinta das Tecedeiras,2008,Quinta das Tecedeiras Late Bottled Vintage Port 2008,fortified,3.8,39.0,Portugal,Porto,//images.vivino.com/thumbs/rl6Nxq0EQMifrHY-owx36A_pl_480x640.png
1235970,Murganheira,2015,Murganheira Czar Grand Cuvée Rosé Brut 2015,sparkling,4.3,26.95,Portugal,Beiras,//images.vivino.com/labels/vpZ_u_kNQKiwDx5uMdsyxw.jpg
1418817,Solar dos Lobos,2012,Solar dos Lobos Grande Escolha 2012,red,4.2,26.95,Portugal,Alentejo,//images.vivino.com/thumbs/ZFcanqicTTGqOSBlJVcr9A_pl_480x640.png
76378,Burmester,2002,Burmester Colheita Port 2002,fortified,4.1,34.5,Portugal,Porto,//images.vivino.com/thumbs/gEj2IcxrQrydjxMfYw7fvQ_pl_480x640.png
1768258,Quinta do Frances,2018,Quinta do Frances Odelouca River Valley Tinto 2018,red,3.9,15.95,Portugal,Algarve,//images.vivino.com/labels/4ozn1SmFSxWWk3XjouCE1w.jpg
1213732,Bacalhôa,2014,Bacalhôa Meia Pipa Private Selection Castelão - Syrah 2014,red,3.6,5.95,Portugal,Península de Setúbal,//images.vivino.com/thumbs/gaWU29zpRnKK9dHVz923aQ_pl_480x640.png
